fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
7.4,0.70,0.00,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4
7.8,0.88,0.00,2.6,0.098,25.0,67.0,0.9968,3.20,0.68,9.8
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.9970,3.26,0.65,9.8
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.9980,3.16,0.58,9.8
7.4,0.70,0.00,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4
7.9,0.60,0.06,1.6,0.069,15.0,59.0,0.9964,3.30,0.46,10.1
6.6,0.96,0.00,1.8,0.075,13.0,48.0,0.9970,3.24,0.47,9.4
8.6,0.52,0.38,1.5,0.096,25.0,101.0,0.9968,3.32,0.51,9.8
7.9,0.35,0.46,3.6,0.078,8.0,19.0,0.9964,3.36,0.57,10.5
6.8,0.62,0.08,1.9,0.068,12.0,30.0,0.9958,3.42,0.60,10.0
